file_name,artifact_type,module_or_lab,task_code,task_title,relative_path,evidence_for,status,comment
VKC_ENV_M00_PR00_setup_REPORT_РемизовКЛ_20260526.md,ENV,M00,PR00,Настройка учебной среды,01_reports/VKC_ENV_M00_PR00_setup_REPORT_РемизовКЛ_20260526.md,,final,
VKC_ENV_M00_PR00_connectofirstVM_РемизовКЛ_20260526.png,EVIDENCE,M00,PR00,SSH подключение к первой ВМ,02_evidence/VKC_ENV_M00_PR00_connectofirstVM_РемизовКЛ_20260526.png,VKC_ENV_M00_PR00_setup_REPORT_РемизовКЛ_20260526.md,final,
VKC_ENV_M00_PR00_firstVM_РемизовКЛ_20260526.png,EVIDENCE,M00,PR00,Первая ВМ создана,02_evidence/VKC_ENV_M00_PR00_firstVM_РемизовКЛ_20260526.png,VKC_ENV_M00_PR00_setup_REPORT_РемизовКЛ_20260526.md,final,
VKC_ENV_M00_PR00_openstackcreating_РемизовКЛ_20260526.png,EVIDENCE,M00,PR00,OpenStack CLI создание ВМ,02_evidence/VKC_ENV_M00_PR00_openstackcreating_РемизовКЛ_20260526.png,VKC_ENV_M00_PR00_setup_REPORT_РемизовКЛ_20260526.md,final,
VKC_ENV_M00_PR00_openstackcreatinglist_РемизовКЛ_20260526.png,EVIDENCE,M00,PR00,OpenStack CLI список ВМ,02_evidence/VKC_ENV_M00_PR00_openstackcreatinglist_РемизовКЛ_20260526.png,VKC_ENV_M00_PR00_setup_REPORT_РемизовКЛ_20260526.md,final,
VKC_ENV_M00_PR00_security_РемизовКЛ_20260526.png,EVIDENCE,M00,PR00,Настройки безопасности и 2FA,02_evidence/VKC_ENV_M00_PR00_security_РемизовКЛ_20260526.png,VKC_ENV_M00_PR00_setup_REPORT_РемизовКЛ_20260526.md,final,
VKC_ENV_M00_PR00_terraformcreating1_РемизовКЛ_20260526.png,EVIDENCE,M00,PR00,Terraform plan этап 1,02_evidence/VKC_ENV_M00_PR00_terraformcreating1_РемизовКЛ_20260526.png,VKC_ENV_M00_PR00_setup_REPORT_РемизовКЛ_20260526.md,final,
VKC_ENV_M00_PR00_terraformcreating2_РемизовКЛ_20260526.png,EVIDENCE,M00,PR00,Terraform plan этап 2,02_evidence/VKC_ENV_M00_PR00_terraformcreating2_РемизовКЛ_20260526.png,VKC_ENV_M00_PR00_setup_REPORT_РемизовКЛ_20260526.md,final,
VKC_ENV_M00_PR00_terraformcreatingcheck_РемизовКЛ_20260526.png,EVIDENCE,M00,PR00,Terraform apply успех,02_evidence/VKC_ENV_M00_PR00_terraformcreatingcheck_РемизовКЛ_20260526.png,VKC_ENV_M00_PR00_setup_REPORT_РемизовКЛ_20260526.md,final,
VKC_PR_M02_01_vpc_subnets_REPORT_РемизовКЛ_20260531.md,PR,M02,01,Сети и виртуальная инфраструктура (VPC и подсети),01_reports/VKC_PR_M02_01_vpc_subnets_REPORT_РемизовКЛ_20260531.md,,final,
VKC_PR_M02_NetworksCard_РемизовКЛ_20260531.png,EVIDENCE,M02,01,Детали сетевой карты,02_evidence/VKC_PR_M02_NetworksCard_РемизовКЛ_20260531.png,VKC_PR_M02_01_vpc_subnets_REPORT_РемизовКЛ_20260531.md,final,
